ticker,name,signal_date,price,signal,confidence,reasons,return_5d,return_20d
5930,삼성전자,2023-01-02,55400,Neutral,50,"[""현재가는 52주 최저가에 근접해 있어 하방 경직성이 기대되지만, 52주 최고가 대비 상당한 하락폭을 기록하며 최근 1개월 수익률도 부진하여 투자 심리가 위축된 상태입니다."", ""분기 실적은 매출과 영업이익 모두 전년 대비 큰 폭으로 증가하며 견조한 성장세를 보여주고 있으나, 이는 이미 주가에 상당 부분 반영되었을 가능성이 있습니다."", ""기술적 지표상 거래량 감소는 매도세 약화를 시사할 수 있으나, 명확한 반등 신호로 보기에는 부족하며 시장 전반의 불확실성이 존재합니다.""]",9.025270758122744,14.620938628158845
5930,삼성전자,2023-02-01,63500,Buy,75,"[""최근 1개월 수익률이 11.75%로 양호하며, 거래량 변화율도 47.34%로 높아 투자자들의 관심이 증가하고 있음을 시사합니다."", ""애널리스트 리포트에서 제시된 목표주가들이 현재가(63,500원) 대비 상승 여력이 충분하며, '저점 분할 매수' 의견이 다수 존재합니다."", ""연간 실적에서 매출과 영업이익이 전년 대비 큰 폭으로 증가했으며, 영업이익률도 18.5%로 견조한 모습을 보여주고 있습니다.""]",-0.7874015748031495,-4.724409448818897
5930,삼성전자,2023-03-02,60500,Neutral,60,"[""최근 1개월 수익률이 소폭 하락하고 거래량 변화율이 감소한 점은 단기적인 매도 압력을 시사합니다."", ""애널리스트 리포트에서 제시된 목표주가 평균이 현재가보다 높지만, 감산 관련 불확실성으로 인해 목표주가 범위가 넓게 분포하고 있습니다."", ""연간 실적은 견조한 성장세를 보였으나, 현재가 기준으로 52주 최고가 대비 상당한 하락폭을 기록하고 있어 추가 상승 여력에 대한 판단이 유보적입니다.""]",-1.6528925619834711,5.785123966942149
5930,삼성전자,2023-04-03,63600,Buy,75,"[""최근 애널리스트 리포트에서 목표주가가 현재가 대비 상향 조정되었으며, 전반적으로 긍정적인 전망을 제시하고 있습니다."", ""PER 7.8배, PBR 1.05배로 밸류에이션 부담이 낮으며, ROE 13.4%로 양호한 수익성을 보여주고 있습니다."", ""최근 1개월 수익률이 4.30%로 상승세를 보이고 있으며, 거래량 변화율도 긍정적인 신호를 나타내고 있습니다.""]",3.6163522012578615,2.8301886792452837
5930,삼성전자,2023-05-02,65400,Buy,75,"[""최근 애널리스트 리포트에서 일관되게 목표주가를 현재가 대비 높게 제시하며 긍정적인 전망을 내놓고 있습니다."", ""52주 최고가 대비 현재 위치가 84.5%로, 상승 여력이 남아있음을 시사합니다."", ""최근 1개월 수익률이 2.66%로 소폭 상승세를 보이고 있으며, 거래량 변화율도 18.24%로 증가하며 투자 심리가 개선되고 있음을 나타냅니다.""]",-1.834862385321101,10.397553516819572
5930,삼성전자,2023-06-01,72200,Buy,75,"[""최근 1개월 수익률이 8.24%로 양호하며, 52주 최고가에 근접한 강한 상승 추세를 보이고 있습니다."", ""하반기 DDR5 점유율 회복 및 목표주가 상향 조정 리포트가 긍정적인 투자 심리를 자극할 수 있습니다."", ""PER 8.8배, PBR 1.18배로 밸류에이션 부담이 크지 않으며, 2.5%의 배당수익률은 하방 경직성을 제공할 수 있습니다.""]",-1.662049861495845,1.10803324099723
5930,삼성전자,2023-07-03,73000,Neutral,60,"[""현재가 52주 최고가와 일치하며 기술적 저항 가능성이 존재합니다."", ""최근 1개월 수익률은 긍정적이나, 거래량 변화율은 감소 추세로 매수세 약화를 시사합니다."", ""2분기 실적 부진 전망 리포트가 목표주가 상향 조정과 상반되어 투자 심리에 혼란을 줄 수 있습니다.""]",-2.054794520547945,-2.602739726027397
5930,삼성전자,2023-08-01,69900,Buy,75,"[""최근 애널리스트 리포트에서 제시된 목표주가 평균이 현재가 대비 상당한 상승 여력을 시사하고 있습니다."", ""기술적 지표상 52주 최고가 대비 현재 위치가 높아 단기적인 상승 모멘텀이 기대됩니다."", ""최근 1개월 수익률은 하락했으나, 거래량 변화율이 긍정적인 점은 향후 주가 상승에 대한 기대감을 높입니다.""]",-1.430615164520744,-4.291845493562231
5930,삼성전자,2023-09-01,71200,Neutral,60,"[""삼성전자는 현재 52주 최고가에 근접한 위치에 있으며, 최근 1개월 수익률은 소폭 상승했으나 거래량 변화율은 하락하여 상승 동력이 약화된 모습을 보입니다."", ""연간 실적은 매출이 증가했으나 영업이익은 감소하여 수익성 둔화 우려가 존재하며, 이는 단기적인 주가 상승을 제한할 수 있습니다."", ""PER, PBR 등 재무 지표는 시장 평균 대비 매력적인 수준은 아니지만, PBR 1.18배는 자산 가치 대비 저평가 가능성을 시사하며, 2.5%의 배당수익률은 하방 경직성을 제공할 수 있습니다.""]",-0.5617977528089888,-7.303370786516854
5930,삼성전자,2023-10-04,66700,Buy,75,"[""최근 애널리스트 리포트들이 일관되게 메모리 반도체 업황 회복 및 DRAM 이익 개선을 전망하며 긍정적인 목표주가를 제시하고 있습니다."", ""현재 주가는 52주 최고가 대비 약 71.6% 수준으로, 업황 회복 시 추가 상승 여력이 존재합니다."", ""PER 8.4배는 과거 평균 및 동종 업계 대비 낮은 수준으로 밸류에이션 매력이 있습니다.""]",1.949025487256372,4.3478260869565215
5930,삼성전자,2023-11-01,69700,Buy,75,"[""최근 애널리스트 리포트에서 메모리 반도체 턴어라운드 및 3분기 실적 호조에 대한 긍정적인 전망과 함께 목표주가가 현재가 대비 높게 제시되었습니다."", ""PER 8.5배, PBR 1.14배는 역사적 평균 대비 저평가 구간에 있다는 분석이 가능하며, ROE 13.4%는 양호한 수익성을 보여줍니다."", ""최근 1개월 수익률은 0%로 정체되어 있으나, 52주 최고가 대비 약 5% 하락한 위치는 추가 상승 여력이 있음을 시사합니다.""]",0.860832137733142,4.447632711621234
5930,삼성전자,2023-12-01,72600,Buy,75,"[""최근 애널리스트 리포트에서 On Device AI 모멘텀, 수요 회복 및 메모리 실적 개선 전망 등 긍정적인 의견이 다수 제시되었으며, 목표주가 상향 조정 리포트가 존재합니다."", ""현재가는 52주 최고가에 근접한 수준이지만, 52주 내 위치가 92.3%로 여전히 상승 여력이 남아있습니다."", ""최근 1개월 수익률이 3.30%로 양호한 흐름을 보이고 있으며, 배당수익률 2.5%는 주가 하방 경직성을 제공할 수 있습니다.""]",0.5509641873278237,5.5096418732782375
5930,삼성전자,2024-01-02,77000,Buy,75,"[""최근 1개월 수익률이 9.49%로 양호하며, 52주 최고가 근접 및 거래량 증가 추세는 긍정적입니다."", ""HBM3 고객 확대 본격화 전망은 향후 실적 개선에 대한 기대감을 높입니다."", ""PER 9.9배는 시장 평균 대비 저평가된 수준으로 판단되며, 배당수익률 2.5%는 하방 경직성을 제공합니다.""]",-4.415584415584416,-5.584415584415584
5930,삼성전자,2024-02-01,75200,Neutral,55,"[""최근 1개월 수익률이 마이너스(-)를 기록하며 단기적인 하락세를 보이고 있습니다."", ""애널리스트들의 목표주가가 현재가 대비 상승 여력을 시사하지만, 4분기 실적이 기대에 미치지 못했다는 분석이 혼재되어 있습니다."", ""기술적 지표상 52주 최고가 대비 높은 위치에 있으나, 최근 거래량 증가가 긍정적인 신호로 해석될 수도 있습니다.""]",0.0,-3.0585106382978724
5930,삼성전자,2024-03-04,73700,Buy,75,"[""메모리 반도체 업황 회복에 대한 기대감과 함께 애널리스트의 긍정적인 목표주가 제시가 지속적인 상승 동력으로 작용할 수 있습니다."", ""현재가 52주 최고가 대비 약 7.4% 하락한 수준으로, 추가적인 상승 여력이 존재할 가능성이 있습니다."", ""낮은 PER과 PBR은 현재 주가가 기업 가치 대비 저평가되었음을 시사하며, 이는 향후 주가 상승의 잠재력을 높입니다.""]",-0.5427408412483039,15.332428765264586
5930,삼성전자,2024-04-01,85000,Buy,75,"[""최근 애널리스트 리포트에서 긍정적인 전망과 함께 목표주가가 현재가 대비 상승 여력을 시사하고 있습니다."", ""최근 1개월 수익률이 11.72%로 양호하며, 거래량 변화율도 38.21%로 증가하는 등 매수세가 유입되고 있습니다."", ""52주 최고가에 근접한 위치(98.0%)는 강한 상승 모멘텀을 나타내며, 메모리 업황 개선 기대감이 주가에 긍정적인 영향을 미칠 것으로 예상됩니다.""]",-1.647058823529412,-8.235294117647058
5930,삼성전자,2024-05-02,77600,Buy,75,"[""최근 5건의 애널리스트 리포트 모두 긍정적인 전망과 함께 100,000원 이상의 목표주가를 제시하고 있어 단기 상승 여력이 충분하다고 판단됩니다."", ""메모리 반도체 업황 회복에 대한 기대감이 높아지고 있으며, 특히 NAND 부문의 실적 개선이 예상되는 점은 긍정적인 요인입니다."", ""최근 1개월 수익률은 하락했지만, 52주 최고가 대비 현재 위치가 66.4%로 여전히 상승 여력이 남아있으며, 거래량 변화율이 크지 않아 급격한 하락보다는 점진적인 회복을 기대해볼 수 있습니다.""]",1.0309278350515465,-2.963917525773196
5930,삼성전자,2024-06-03,75300,Neutral,55,"[""최근 1개월 수익률이 마이너스를 기록하며 단기적인 하락세를 보이고 있으나, 52주 최고가 대비 현재 위치가 중간 지점에 있어 추가 하락보다는 반등 가능성도 존재합니다."", ""연간 실적에서 매출과 영업이익이 전년 대비 큰 폭으로 감소한 점은 부정적인 요인이지만, 부채비율이 낮고 영업현금흐름이 양호하여 재무 안정성은 우수합니다."", ""PER이 35.5로 다소 높은 편이지만, PBR이 1.23으로 자산 가치 대비 저평가 가능성도 있어 단기적인 방향성을 명확히 판단하기 어렵습니다.""]",1.593625498007968,8.632138114209829
5930,삼성전자,2024-07-01,81800,Buy,75,"[""최근 애널리스트 리포트에서 일관되게 긍정적인 전망과 높은 목표주가를 제시하고 있으며, 특히 AI 모멘텀 확대 및 HBM에서의 성과에 대한 기대감이 높습니다."", ""최근 1개월 수익률이 11.29%로 양호한 흐름을 보이고 있으며, 52주 최고가 대비 현재 위치가 81.9%로 상승 여력이 남아있습니다."", ""부채비율이 25.4%로 낮아 재무 안정성이 우수하며, 영업현금흐름이 양호하여 실적 개선 가능성을 뒷받침합니다.""]",7.334963325183375,-0.9779951100244498
5930,삼성전자,2024-08-01,79600,Buy,85,"[""최근 애널리스트 리포트들이 일제히 긍정적인 전망과 함께 높은 목표주가를 제시하고 있어 투자 심리에 긍정적인 영향을 미칠 것으로 예상됩니다."", ""메모리 업사이클에 대한 기대감이 높아지고 있으며, 이는 삼성전자의 실적 개선으로 이어질 가능성이 높습니다."", ""현재 주가가 52주 최고가 대비 하락한 위치에 있지만, 기술적 지표상 52주 내에서 높은 위치를 차지하고 있으며 최근 1개월 수익률도 소폭 상승하는 등 반등의 조짐을 보이고 있습니다.""]",-6.155778894472362,-6.532663316582915
5930,삼성전자,2024-09-02,72500,Buy,65,"[""최근 1개월 수익률이 -10.47%로 하락했으나, 애널리스트 리포트에서 과도한 주가 급락으로 매수 기회로 판단하고 목표주가 120,000원을 제시했습니다."", ""현재가(72,500원)는 52주 최저가(66,000원) 대비 높은 수준이지만, 52주 최고가(87,800원) 대비로는 하락하여 반등 가능성을 시사합니다."", ""부채비율이 25.4%로 낮고 영업현금흐름이 양호하여 재무 안정성이 뒷받침되고 있습니다.""]",-8.689655172413794,-16.82758620689655
